,Tx,Tn,Pr,ET0
20100401,0.46,0.04,0.0,1.168704984012565
20100402,0.63,0.03,0.0,0.8513755815766811
20100403,2.59,0.06,0.0,1.0454965407475243
20100404,3.74,0.05,0.0,0.49649476915846014
20100405,9.47,-0.56,0.0,1.225574337807461
20100406,10.59,-0.52,3.83,1.2819069162162005
20100407,4.7,-1.51,7.49,0.3779367064478377
20100408,5.62,-1.69,0.0,0.7298478554179662
20100409,8.78,0.95,0.0,1.3056625907327992
20100410,11.78,2.64,0.0,1.7187572451471407
20100411,13.52,0.52,0.0,1.602767289824042
20100412,10.67,-0.89,0.0,2.296270256515592
20100413,12.01,-2.18,0.0,2.319740496515617
20100414,9.43,-1.01,0.0,1.422198623694969
20100415,10.42,-1.14,0.0,2.492151800453376
20100416,10.9,0.33,0.0,1.743389975212524
20100417,7.93,0.69,0.0,1.718532371389484
20100418,5.3,-1.99,5.95,1.3899756796800447
20100419,6.87,-2.27,1.94,1.2463509577716456
20100420,9.62,-2.81,0.0,2.169671252055075
20100421,9.05,-1.16,0.0,1.5776490240324372
20100422,8.04,1.58,3.65,0.7470013228547024
20100423,5.51,-0.29,2.64,1.0675560909080817
20100424,6.63,-0.18,0.0,1.4243375265333755
20100425,7.58,-0.57,0.0,2.5694474103850684
20100426,11.19,-1.06,0.0,2.4114482858401756
20100427,12.49,-0.71,0.0,2.341482481565496
20100428,9.25,-1.5,0.0,2.3570065400079567
20100429,6.23,-1.5,4.47,1.531849622090367
20100430,15.16,5.94,2.76,1.3535093843256758
20100501,12.94,5.5,5.28,1.0360593622486058
20100502,13.58,0.9,1.74,1.9577474597156321
20100503,11.4,-0.23,0.0,3.3949615840273837
20100504,9.86,1.77,13.92,0.6432365530356132
20100505,8.58,-0.78,0.0,1.101871163103611
20100506,13.15,-2.6,0.0,2.953723206781951
20100507,6.06,3.29,9.15,0.7772945437610634
20100508,21.91,5.17,2.66,3.163022914067974
20100509,16.69,6.93,5.04,2.4781846663304328
20100510,9.13,2.71,10.45,0.9914549669542725
20100511,12.55,2.65,0.0,1.3827039478411904
20100512,18.43,5.5,0.0,1.9715857428455899
20100513,22.06,9.79,2.42,4.017252292470044
20100514,24.13,12.23,0.0,4.237567871996577
20100515,21.5,12.07,1.44,3.412204741077783
20100516,22.53,12.44,1.91,3.541631346600048
20100517,21.04,13.01,4.72,2.367332746083959
20100518,20.82,14.46,2.85,3.595865325577455
20100519,21.46,11.08,0.0,4.945445329232402
20100520,24.8,8.76,0.0,5.02399449542498
20100521,25.5,11.85,0.0,5.037699758188991
20100522,21.68,9.07,0.0,4.305940497450248
20100523,20.0,8.22,1.14,4.093285844597517
20100524,14.64,7.43,2.26,2.2796189013953656
20100525,16.21,6.45,0.0,3.0396816351275584
20100526,10.73,5.9,6.39,1.2004431974683674
20100527,12.23,8.71,8.31,1.286290737075505
20100528,13.06,5.87,3.69,1.0804014961937323
20100529,14.66,5.08,3.41,1.7518841606547932
20100530,14.58,6.19,1.13,2.6937594858265923
20100531,19.58,6.12,0.0,3.9606490414785624
20100601,19.12,7.97,2.77,4.281062741400768
20100602,19.71,10.13,9.7,1.7053888832261013
20100603,19.69,9.48,0.0,2.0254535223312167
20100604,17.51,9.36,0.0,3.9560183929792663
20100605,13.8,7.07,0.0,3.0599035526840836
20100606,15.61,5.33,0.0,4.130771049903242
20100607,18.63,6.69,0.0,3.173832173951852
20100608,10.87,6.36,18.6,1.2577824092996286
20100609,16.02,6.3,0.0,3.8573953682489774
20100610,19.81,8.31,1.49,2.7305682634228594
20100611,17.94,9.69,9.33,3.954189442530341
20100612,20.89,11.44,6.41,2.652420205631021
20100613,15.17,9.69,5.0,2.005385536382874
20100614,17.55,9.51,1.37,2.1164051270769844
20100615,15.89,8.43,2.19,2.137457934536076
20100616,14.25,7.54,4.28,1.6379886031305693
20100617,16.05,7.47,0.0,3.06576810199866
20100618,17.69,7.09,0.0,3.637168114906474
20100619,20.16,10.75,3.38,3.7065183275052345
20100620,18.33,12.82,9.6,1.3743080195822022
20100621,23.13,13.26,7.27,4.1717386594840615
20100622,15.05,11.26,20.98,1.3750688417105994
20100623,16.73,10.38,4.65,2.5217542683309477
20100624,19.62,8.91,1.23,2.3583584456108846
20100625,24.83,13.92,4.71,3.460664199456798
20100626,21.76,15.83,24.71,2.0201919059126165
20100627,17.99,9.49,2.4,3.839220108007349
20100628,21.16,8.07,0.0,5.297710910279625
20100629,23.34,12.19,0.0,5.441850014591633
20100630,24.6,11.12,0.0,5.056823084154502
20100701,24.38,16.07,3.04,4.100694450222129
20100702,21.44,12.58,0.0,3.598548285642201
20100703,20.64,11.38,0.0,5.466587527235507
20100704,26.34,12.0,0.0,5.879815018833326
20100705,26.67,14.44,0.0,5.906424520184147
20100706,29.37,15.3,0.0,5.625024858162653
20100707,29.82,18.45,3.57,4.578187588214516
20100708,29.13,18.4,2.22,4.408101585821372
20100709,24.48,17.19,3.35,3.0360004837316543
20100710,24.59,15.71,0.0,4.609314895906485
20100711,27.47,16.05,0.0,5.1627045959905224
20100712,32.04,17.55,0.0,5.40094183403614
20100713,29.28,18.44,0.0,5.503101051998438
20100714,29.19,18.2,0.0,5.854625834027495
20100715,29.83,20.1,0.0,5.791276712683043
20100716,27.73,19.56,3.5,4.623964231155199
20100717,25.0,18.79,0.0,4.193895815976058
20100718,26.9,18.12,0.0,4.110546883510773
20100719,25.69,14.73,3.35,3.386182331269865
20100720,23.75,13.65,0.0,4.905518073959634
20100721,26.55,15.88,0.0,4.410386431238334
20100722,27.37,15.14,0.0,5.183592386861389
20100723,27.26,19.81,2.37,4.227631162013329
20100724,28.05,18.26,4.48,4.583783842607291
20100725,29.31,17.5,0.0,4.831153948445044
20100726,28.94,20.13,0.0,4.341917991998198
20100727,30.26,19.48,1.41,4.726563279842534
20100728,30.36,19.09,0.0,4.433341800822523
20100729,28.44,21.03,6.39,3.9386508928944277
20100730,23.49,16.13,1.78,2.7915544777124333
20100731,24.68,15.34,5.01,3.8316525634434337
20100801,25.08,17.07,1.57,4.5335565989750215
20100802,26.94,16.48,0.0,3.5109485702091634
20100803,25.18,16.51,0.0,3.573618463138465
20100804,25.76,16.87,1.87,3.986462794632607
20100805,25.39,16.87,0.0,3.708374272537172
20100806,27.95,17.06,0.0,3.949763670904347
20100807,28.53,20.55,0.0,3.217573965816961
20100808,28.83,20.45,0.0,1.8619891436179865
20100809,27.43,19.62,2.5,3.9627795149592058
20100810,24.03,17.14,0.0,3.234663643693061
20100811,22.48,14.67,0.0,3.5360291268224673
20100812,26.08,14.8,0.0,3.8380252724501918
20100813,26.37,14.17,0.0,4.291066086466035
20100814,28.5,15.19,0.0,3.7800648156126186
20100815,25.68,19.08,5.28,3.3013708137473947
20100816,22.87,10.78,0.0,3.880217930285911
20100817,20.44,8.96,0.0,2.9043820464628123
20100818,18.47,12.95,2.46,1.0438566283735562
20100819,17.27,9.44,0.0,2.6574765348024503
20100820,15.99,7.71,0.0,2.079818703355894
20100821,19.88,8.19,1.2,2.5079680725664355
20100822,20.56,14.51,6.09,2.4127922073377803
20100823,18.76,12.68,9.03,2.283481919704957
20100824,17.25,10.98,5.52,1.263519184785786
20100825,17.91,11.08,4.18,2.0031730435278603
20100826,16.65,10.66,7.84,1.5439437020527509
20100827,16.17,7.5,1.03,1.5142382194990671
20100828,14.28,6.97,1.79,1.7685647513794698
20100829,11.67,5.8,0.0,1.2848139325053347
20100830,12.65,5.53,0.0,1.4850094963126037
20100831,14.91,5.04,0.0,1.8597545877562711
20100901,14.97,3.77,0.0,2.0631219904285056
20100902,8.83,6.23,29.11,0.729389889149349
20100903,11.56,6.88,11.37,0.5904511723852129
20100904,10.91,3.53,2.06,1.0545367971954336
20100905,12.32,3.42,0.0,1.2118675888822215
20100906,14.1,7.4,0.0,1.5557403632034095
20100907,14.69,7.51,0.0,1.1301180108886908
20100908,17.02,9.33,0.0,1.1497761137531624
20100909,18.63,8.16,0.0,2.091024191785628
20100910,17.78,8.69,0.0,1.4264733751673042
20100911,13.35,8.12,2.35,0.7243350251747714
20100912,17.2,9.62,1.9,0.5349908531702875
20100913,14.52,9.8,2.05,0.9099822597764252
20100914,17.6,10.89,3.42,1.003903231115973
20100915,17.37,12.23,3.69,1.2348938679492973
20100916,14.73,7.25,0.0,1.2664921413024135
20100917,13.53,7.11,7.6,0.6997608957542469
20100918,13.76,9.05,2.65,0.9630511163133477
20100919,10.82,8.26,5.75,0.6824162887047263
20100920,12.73,7.15,1.79,0.8239374793410356
20100921,13.21,6.94,1.22,0.8865572518975782
20100922,14.76,8.1,2.19,1.147543564775887
20100923,13.8,7.41,0.0,0.9833380715543147
20100924,14.88,7.29,0.0,1.4474001689916876
20100925,17.92,7.65,0.0,1.5051404924652627
20100926,14.98,6.95,0.0,0.4288524074866755
20100927,8.44,5.65,0.0,0.7411605643863686
20100928,7.33,3.73,2.01,0.30678910710475826
20100929,9.26,1.59,0.0,0.7961201925937357
20100930,11.19,2.48,0.0,0.7658428692307039
20101001,12.25,2.23,0.0,0.9666562061410042
20101002,10.18,2.75,0.0,0.4575088112372436
20101003,10.23,3.18,0.0,0.43847142813045203
20101004,10.84,2.63,0.0,0.6421223202166225
20101005,10.37,0.76,0.0,1.075725450383586
20101006,10.4,-1.02,0.0,1.0817940631958467
20101007,10.3,0.39,0.0,1.042831590908395
20101008,9.44,-0.77,0.0,0.7689521159861085
20101009,9.98,1.15,0.0,0.49855448158916366
20101010,6.26,0.89,3.27,0.0
20101011,6.76,1.04,3.13,0.2674203111394715
20101012,3.58,-0.95,5.05,0.17936662763857777
20101013,3.79,-1.45,1.19,0.23024897875720762
20101014,2.36,0.49,6.42,0.10806138769957585
20101015,1.17,-1.68,2.98,0.0
20101016,1.63,-2.93,0.0,0.19472631358278222
20101017,2.98,-3.68,0.0,0.2286668035630872
20101018,4.08,-1.9,0.0,0.39569373849530504
20101019,3.65,-3.01,0.0,0.4440500879488042
20101020,3.67,0.62,8.85,0.3073055470707049
20101021,3.3,0.66,1.02,0.2715488007717844
20101022,2.76,-2.36,5.91,0.2633524960643472
20101023,2.73,-3.28,1.88,0.05403546088835615
20101024,4.51,0.51,5.91,0.14506945706090502
20101025,6.13,4.69,1.87,0.0
20101026,4.29,-0.82,0.0,0.029447475904981986
20101027,1.78,-3.24,0.0,0.10379829300174567
20101028,1.92,-2.72,2.76,0.0
20101029,4.93,0.37,1.4,0.21115637520519304
20101030,5.31,2.59,0.0,0.209904459530165
20101031,5.74,4.1,0.0,0.04268495355468344
20101101,4.16,3.37,1.01,0.06935019520848414
20101102,5.95,2.86,3.99,0.0
20101103,6.46,3.87,7.17,0.23861609134719716
20101104,6.46,4.9,2.71,0.0
20101105,4.91,2.45,1.38,0.0
20101106,2.21,0.32,3.03,0.19944914870167063
20101107,0.65,-1.65,0.0,0.0
20101108,0.34,-1.86,0.0,0.0
20101109,0.64,-1.29,7.23,0.17512589588874916
20101110,4.12,0.7,10.6,0.14698516734368716
20101111,3.27,0.77,10.15,0.20435867825487358
20101112,3.27,-0.15,2.15,0.0
20101113,5.18,1.29,3.84,0.0
20101114,3.91,2.09,1.3,0.0
20101115,8.58,3.06,5.43,0.25176923732068146
20101116,5.97,-1.43,0.0,0.0
20101117,-0.21,-4.38,0.0,0.0
20101118,1.02,-2.02,12.47,0.2063773357448664
20101119,1.91,-1.58,6.18,0.09484844763123737
20101120,-1.25,-2.9,1.28,0.0
20101121,-0.63,-4.37,0.0,0.0
20101122,-2.82,-6.56,0.0,0.0
20101123,-3.35,-5.2,8.0,0.07985010185198256
20101124,-4.38,-6.9,7.38,0.0
20101125,-7.14,-11.13,5.46,0.06375466416703286
20101126,-10.77,-13.02,1.29,0.0
20101127,-12.1,-15.09,1.09,0.0
20101128,-15.13,-23.08,0.0,0.0
20101129,-14.16,-23.57,0.0,0.0
20101130,-16.55,-21.74,0.0,0.0
20101201,-17.91,-25.75,0.0,0.0
20101202,-15.45,-22.25,0.0,0.0
20101203,-13.46,-20.4,0.0,0.0
20101204,-8.4,-14.57,5.09,0.0
20101205,-4.76,-8.67,1.36,0.0
20101206,-9.1,-11.1,1.49,0.0
20101207,-3.2,-9.97,1.24,0.0
20101208,-4.6,-6.35,1.29,0.0
20101209,-6.35,-7.86,10.8,0.07247202099109235
20101210,-7.44,-9.47,6.85,0.0
20101211,-7.77,-9.56,4.6,0.0
20101212,-7.62,-19.91,4.99,0.0
20101213,-11.81,-20.42,0.0,0.0
20101214,-8.67,-13.21,0.0,0.0
20101215,-10.36,-19.02,0.0,0.0
20101216,-14.16,-23.42,0.0,0.0
20101217,-12.73,-15.95,0.0,0.0
20101218,-16.5,-18.34,0.0,0.0
20101219,-13.28,-16.63,3.1,0.0
20101220,-11.38,-17.52,2.17,0.0
20101221,-10.6,-16.16,0.0,0.0
20101222,-12.31,-16.38,1.26,0.0
20101223,-13.7,-18.25,0.0,0.0
20101224,-14.26,-18.64,4.11,0.0
20101225,-12.23,-14.25,15.13,0.029426813838571517
20101226,-10.36,-13.19,2.91,0.026929508776009366
20101227,-10.7,-14.17,2.89,0.0
20101228,-13.36,-15.66,0.0,0.0
20101229,-13.12,-14.81,0.0,0.0
20101230,-11.81,-17.29,0.0,0.0
20101231,-13.87,-18.04,0.0,0.0
20110101,-10.43,-17.53,0.0,0.0
20110102,-10.78,-12.85,0.0,0.0
